Vanderbilt University	['Dr. Douglas C. Schmidt']	Programming Mobile Services for Android Handheld Systems: Communication	May 6th, 2015	4 weeks long
Universiteit Leiden	['Marc van Oostendorp']	Miracles of Human Language: An Introduction to Linguistics	Mar 30th, 2015	5 weeks long
University of Copenhagen	['Jens Juul Holst, MD, DMSc', 'Dr. Signe Sørensen  Torekov, MSc, PhD']	Diabetes - a Global Challenge	Apr 13th, 2015	5 weeks long
Vanderbilt University	['Dr. Douglas C. Schmidt', 'Dr. C. Jules White']	Programming Cloud Services for Android Handheld Systems: Security	Jul 22nd, 2015	5 weeks long
University of California, San Diego 	['Pavel  Pevzner', 'Phillip E. C. Compeau']	Algorithms, Biology, and Programming for Beginners	May 18th, 2015	8 weeks long
American Museum of Natural History	['Edmond Mathez, Ph.D.', 'Ro Kinzler, Ph.D.']	The Dynamic Earth: A Course for Educators	May 4th, 2015	4 weeks long
University of Illinois at Urbana-Champaign	['P. Brighten Godfrey', 'Ankit Singla']	Cloud Networking	Oct 26th, 2015	4 weeks long
UNSW Australia (The University of New South Wales)	['A/Prof. Joanne Travaglia', 'Dr Lesley Halliday', 'Ms Lois Meyer']	Health Leadership: Leading and Managing Healthcare	Apr 20th, 2015	8 weeks long
University of Washington	['Rajesh P. N. Rao', 'Adrienne Fairhall']	Computational Neuroscience	May 1st, 2015	8 weeks long
Rice University	['Luay Nakhleh', 'Scott Rixner', 'Joe Warren']	Algorithmic Thinking (Part 2)	Jul 10th, 2015	4 weeks long
Johns Hopkins University	['George Everly, Jr., PhD']	Psychological First Aid	May 18th, 2015	6 weeks long
The University of Melbourne	['Esther Care', 'Patrick Griffin']	Assessment and Teaching of 21st Century Skills	Apr 20th, 2015	6 weeks long
Northwestern University	['Gad Allon', 'Jan A. Van Mieghem']	Scaling operations: Linking strategy and execution	Mar 30th, 2015	5 weeks long
Northwestern University	['Aggelos K. Katsaggelos']	Fundamentals of Digital Image and Video Processing	Mar 30th, 2015	12 weeks long
University of California, Irvine	['Racquel Nedden']	Performance Assessment in the Virtual Classroom	May 18th, 2015	5 weeks long
University of Pennsylvania	['Paul A. Offit, MD']	Vaccines	Apr 13th, 2015	6 weeks long
The University of Chicago	['John H. Cochrane']	Asset Pricing, Part 2	Mar 29th, 2015	6 weeks long
University of Illinois at Urbana-Champaign	['Jiawei Han']	Cluster Analysis in Data Mining	Apr 27th, 2015	4 weeks long
Vanderbilt University	['Dr. Douglas C. Schmidt', 'Dr. C. Jules White']	Programming Cloud Services for Android Handheld Systems: Spring	Jun 17th, 2015	5 weeks long
University of Illinois at Urbana-Champaign	['Roy H. Campbell']	Cloud Computing Applications	Aug 24th, 2015	4 weeks long
UNSW Australia (The University of New South Wales)	['Dr Caroline Ford', 'Dr Orin Chisholm', 'Dr Sheri Nixdorf', 'Rachel Williams']	Myths and Realities of Personalised Medicine: The Genetic Revolution	May 11th, 2015	8 weeks long
Exploratorium	['Mike Petrich', 'Karen Wilkinson', 'Luigi Anzivino']	Tinkering Fundamentals: A Constructionist Approach to STEM Learning	Jul 22nd, 2015	6 weeks long
Commonwealth Education Trust	['Associate Professor Gavin Brown', 'Dr  Peter Keegan', 'Professor John MacBeath']	Foundations of Teaching for Learning 6: Introduction to Student Assessment	Jun 22nd, 2015	6 weeks long
Hebrew University of Jerusalem	['Shimon Schocken', 'Noam  Nisan']	From Nand to Tetris / Part I	Apr 11th, 2015	7 weeks long
University of Maryland, College Park	['Gang Qu']	Hardware Security	Apr 6th, 2015	6 weeks long
Eindhoven University of Technology	['Wil van der Aalst']	Process Mining: Data science in Action	Apr 1st, 2015	6 weeks long
Commonwealth Education Trust	['Dr  Judy Halbert', 'Dr Linda Kaser', 'Professor John MacBeath']	Foundations of Teaching for Learning 5: Planning for Teaching and Learning	May 4th, 2015	6 weeks long
